"auto_seq_no","timestamp","source_document","keyword_anchor","context_snippet","mapped_target_file","mapped_target_page","resolution_type"
"11","2026-05-28 12:21:43","2.2-introduction.pdf","Section 5.3.4","...lts are detailed in Section 5.3.4.2; the integrated safety data are provided in Section 5.3.4.  The Phase III efficacy and safety results are summarized in Section 2.5 of th...","5.3.4-integrated-safety.pdf","3","Section 5.3.4 Integrated Summary of Safety"
"12","2026-05-28 12:21:44","2.2-introduction.pdf","Section 2.5","...in Section 5.3.4.  The Phase III efficacy and safety results are summarized in Section 2.5 of this Module 2 submission. Full clinical study reports are filed in Module 5,...","2.5-clinical-overview.pdf","1","Base Module Match"
"13","2026-05-28 12:22:05","2.3-qos.pdf","Section 2.3","...ality Overall Summary"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 2.3 Quality Overall Summary (QOS)   <table> <tr> <td>Submission Type</td> <td>NDA-5...","2.3-qos.pdf","1","Base Module Match"
"14","2026-05-28 12:22:06","2.3-qos.pdf","Section 3.2.S.1","...omenclature, structural formula, and physicochemical properties are provided in Section 3.2.S.1 of Module 3 (refer to Table 1 in Section 3.2.S.1 for the complete physicochemic...","3.2.S.1-general-info.pdf","1","Base Module Match"
"15","2026-05-28 12:22:07","2.3-qos.pdf","Section 3.2.S.1.3","...</table>   Table 2.3.S.1-1 above summarizes key physicochemical properties; see Section 3.2.S.1.3 of Module 3 for the complete general properties data, including solubility acro...","3.2.S.1-general-info.pdf","1","Base Module Match"
"16","2026-05-28 12:22:09","2.3-qos.pdf","Section 3.2.S.2","...ng process flow diagram, process description, and batch records are provided in Section 3.2.S.2 of Module 3.  Refer to Section 3.2.S.2.2 (Module 3) for the complete synthesis...","3.2.S.2-manufacture.pdf","1","Base Module Match"
"17","2026-05-28 12:22:10","2.3-qos.pdf","Section 3.2.S.2.2","...ption, and batch records are provided in Section 3.2.S.2 of Module 3.  Refer to Section 3.2.S.2.2 (Module 3) for the complete synthesis scheme, including the process flow diagra...","3.2.S.2-manufacture.pdf","1","Base Module Match"
"18","2026-05-28 12:22:11","2.3-qos.pdf","Section 3.2.S.2.1","...rocess parameters and in-process controls. Manufacturer details are provided in Section 3.2.S.2.1.   ### 2.3.S.3 Characterisation  The structure of nexivarin hydrochloride has b...","3.2.S.2-manufacture.pdf","1","Base Module Match"
"19","2026-05-28 12:22:12","2.3-qos.pdf","Section 3.2.S.3","...and elemental analysis. Full characterisation data and spectra are provided in Section 3.2.S.3 of Module 3.  Refer to Section 3.2.S.3 (Module 3) for the complete structural e...","3.2.S.1-general-info.pdf","1","Child Module Match"
"20","2026-05-28 12:22:13","2.3-qos.pdf","Section 3.2.S.4","...ethod descriptions, validation reports, and batch analysis data are provided in Section 3.2.S.4 of Module 3. See Table 2.3.S.4-1 for the specification summary.   <table> <tr>...","3.2.S.4-control.pdf","1","Base Module Match"
"21","2026-05-28 12:22:14","2.3-qos.pdf","Sections 3.2.S.4.1","...s. The full specification and analytical method validation data are provided in Sections 3.2.S.4.1 and 3.2.S.4.3 of Module 3, respectively. Batch analysis results for validation...","3.2.S.4-control.pdf","1","Base Module Match"
"22","2026-05-28 12:22:15","2.3-qos.pdf","Section 3.2.S.4.4","...ively. Batch analysis results for validation and clinical batches are listed in Section 3.2.S.4.4 (refer to Table 1 in Section 3.2.S.4.4 for batch analysis summary).   ### 2.3.S...","3.2.S.4-control.pdf","1","Base Module Match"
"23","2026-05-28 12:22:17","2.3-qos.pdf","Section 3.2.S.7","...meet specifications. The stability design and full data tables are provided in Section 3.2.S.7 of Module 3.  Refer to Section 3.2.S.7.3 (Module 3) for the complete drug subst...","3.2.S.7-stability.pdf","1","Base Module Match"
"24","2026-05-28 12:22:18","2.3-qos.pdf","Section 3.2.S.7.3","...ign and full data tables are provided in Section 3.2.S.7 of Module 3.  Refer to Section 3.2.S.7.3 (Module 3) for the complete drug substance stability data tables (see Table 1 i...","3.2.S.7-stability.pdf","1","Base Module Match"
"25","2026-05-28 12:22:19","2.3-qos.pdf","Section 3.2.P.1","...et. The complete formulation composition and excipient function are provided in Section 3.2.P.1. See Table 2.3.P.1-1 below for the composition summary.   <table> <tr> <th>Comp...","3.2.P.2-pharm-dev.pdf","1","Child Module Match"
"26","2026-05-28 12:22:20","2.3-qos.pdf","Section 3.2.P.2.3","...selection rationale, compatibility data, and compendial status are detailed in Section 3.2.P.2.3 (Module 3). * Purified water is removed during film-coating processing and is n...","3.2.P.2-pharm-dev.pdf","1","Base Module Match"
"27","2026-05-28 12:22:21","2.3-qos.pdf","Section 3.2.P.2","...TPP), Critical Quality Attributes (CQAs), and the design space are described in Section 3.2.P.2 of Module 3. The pharmaceutical development report is provided in Section 3.2.P...","3.2.P.2-pharm-dev.pdf","1","Base Module Match"
"28","2026-05-28 12:22:22","2.3-qos.pdf","Section 3.2.P.2.4","...The pharmaceutical development report is provided in Section 3.2.P.2.  Refer to Section 3.2.P.2.4 (Module 3) for the formulation optimization data, including the DoE results and...","3.2.P.2-pharm-dev.pdf","1","Base Module Match"
"29","2026-05-28 12:22:23","2.3-qos.pdf","Section 3.2.P.3","...cess description, process flow diagram, and in-process controls are provided in Section 3.2.P.3 of Module 3. The batch formula is provided in Section 3.2.P.3.2 (refer to Table...","3.2.P.3-manufacture.pdf","1","Base Module Match"
"30","2026-05-28 12:22:24","2.3-qos.pdf","Section 3.2.P.3.2","...s are provided in Section 3.2.P.3 of Module 3. The batch formula is provided in Section 3.2.P.3.2 (refer to Table 1 in Section 3.2.P.3.2 for the commercial batch formula).  The...","3.2.P.3-manufacture.pdf","1","Base Module Match"
"31","2026-05-28 12:22:25","2.3-qos.pdf","Section 3.2.P.3.3","...g process step descriptions and key process parameters are listed in Table 1 of Section 3.2.P.3.3 (Module 3). The process validation data, including blend uniformity, dissolutio...","3.2.P.3-manufacture.pdf","1","Base Module Match"
"32","2026-05-28 12:22:26","2.3-qos.pdf","Section 3.2.P.3.5","...blend uniformity, dissolution, and content uniformity results, are provided in Section 3.2.P.3.5. See Section 3.2.P.3.3 for the process flow diagram (Figure 3.2.P.3-1).   ####...","3.2.P.3-manufacture.pdf","1","Base Module Match"
"33","2026-05-28 12:22:27","2.3-qos.pdf","Section 3.2.P.5","...th acceptance criteria, analytical methods, and validation data are provided in Section 3.2.P.5 of Module 3.  <!-- PageFooter=""PharmaCorp Inc. | NDA 123456 | CONFIDENTIAL"" -->...","3.2.P.2-pharm-dev.pdf","1","Child Module Match"
"34","2026-05-28 12:22:28","2.3-qos.pdf","Section 3.2.P.5.3","...s. Analytical method validation reports for PM-01 through PM-03 are provided in Section 3.2.P.5.3 (Module 3). Batch analysis results for clinical and commercial-scale batches ar...","3.2.P.2-pharm-dev.pdf","1","Child Module Match"
"35","2026-05-28 12:22:29","2.3-qos.pdf","Section 3.2.P.5.4","...atch analysis results for clinical and commercial-scale batches are provided in Section 3.2.P.5.4 (data listed in Table 2 of Section 3.2.P.5.4).   ### 2.3.P.8 Stability  Drug pr...","3.2.P.2-pharm-dev.pdf","1","Child Module Match"
"36","2026-05-28 12:22:30","2.3-qos.pdf","Section 3.2.P.8","...he complete stability protocol, data tables, and trend analyses are provided in Section 3.2.P.8 of Module 3.  Refer to Section 3.2.P.8.3 (Module 3) for the complete drug produ...","3.2.P.8-stability.pdf","1","Base Module Match"
"37","2026-05-28 12:22:31","2.3-qos.pdf","Section 3.2.P.8.3","...bles, and trend analyses are provided in Section 3.2.P.8 of Module 3.  Refer to Section 3.2.P.8.3 (Module 3) for the complete drug product stability data tables (see Table 1 in...","3.2.P.8-stability.pdf","1","Base Module Match"
"38","2026-05-28 12:22:55","2.4-nonclinical-overview.pdf","Section 2.4","...""Nonclinical Overview"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 2.4  Nonclinical Overview   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)...","2.4-nonclinical-overview.pdf","1","Base Module Match"
"39","2026-05-28 12:22:56","2.4-nonclinical-overview.pdf","Sections 4.2.1",".... All GLP-compliant studies referenced herein are reported in full in Module 4 (Sections 4.2.1 through 4.2.3). The nonclinical written and tabulated summaries are provided in...","4.2.1.1-primary-pd.pdf","1","Child Module Match"
"40","2026-05-28 12:28:11","2.4-nonclinical-overview.pdf","Section 4.2.1.1","...heral selectivity. The complete in vitro patch-clamp study data are reported in Section 4.2.1.1 (Study NXV-PD-001). Antihypertensive activity was confirmed in the SHR model wi...","4.2.1.1-primary-pd.pdf","1","Base Module Match"
"41","2026-05-28 12:28:12","2.4-nonclinical-overview.pdf","Section 4.2.1.2","...a clean selectivity profile. The full receptor selectivity data are provided in Section 4.2.1.2 (Module 4).  Refer to Table 1 of Section 4.2.1.2 (Module 4) for the complete re...","4.2.1.1-primary-pd.pdf","1","Child Module Match"
"42","2026-05-28 12:28:13","2.4-nonclinical-overview.pdf","Section 2.4.2","...t considered clinically relevant at therapeutic concentrations, as discussed in Section 2.4.2.   ### Safety Pharmacology  Cardiovascular safety pharmacology studies (ICH S7B...","2.4-nonclinical-overview.pdf","1","Base Module Match"
"43","2026-05-28 12:28:14","2.4-nonclinical-overview.pdf","Section 4.2.1.3","...espiratory effects were observed. Full safety pharmacology study reports are in Section 4.2.1.3 (Module 4).  As described in Section 4.2.1.3 (Module 4), cardiovascular, CNS, a...","4.2.1.3-safety-pharm.pdf","1","Base Module Match"
"44","2026-05-28 12:28:15","2.4-nonclinical-overview.pdf","Sections 4.2.2.1","...ey are summarized in Table 2.4-2 below. Full ADME study reports are provided in Sections 4.2.2.1 through 4.2.2.5 (Module 4).   <table> <tr> <th>PK Parameter</th> <th>Rat</th> <...","4.2.1.1-primary-pd.pdf","1","Child Module Match"
"45","2026-05-28 12:28:16","2.4-nonclinical-overview.pdf","Section 4.2.2.2","...Table 2.4-2 are extracted from the full nonclinical PK reports in Module 4 (see Section 4.2.2.2 for absorption studies, Section 4.2.2.3 for distribution, Section 4.2.2.4 for m...","4.2.1.1-primary-pd.pdf","1","Child Module Match"
"46","2026-05-28 12:28:17","2.4-nonclinical-overview.pdf","Section 4.2.2.3","...nonclinical PK reports in Module 4 (see Section 4.2.2.2 for absorption studies, Section 4.2.2.3 for distribution, Section 4.2.2.4 for metabolism, and Section 4.2.2.5 for excre...","4.2.1.1-primary-pd.pdf","1","Child Module Match"
"47","2026-05-28 12:28:18","2.4-nonclinical-overview.pdf","Section 4.2.2.4","...(see Section 4.2.2.2 for absorption studies, Section 4.2.2.3 for distribution, Section 4.2.2.4 for metabolism, and Section 4.2.2.5 for excretion). Metabolite profiling data a...","4.2.1.1-primary-pd.pdf","1","Child Module Match"
"48","2026-05-28 12:28:19","2.4-nonclinical-overview.pdf","Section 4.2.2.5","...studies, Section 4.2.2.3 for distribution, Section 4.2.2.4 for metabolism, and Section 4.2.2.5 for excretion). Metabolite profiling data are provided in Section 4.2.2.4; the...","4.2.1.1-primary-pd.pdf","1","Child Module Match"
"49","2026-05-28 12:28:20","2.4-nonclinical-overview.pdf","Section 4.2.3.1","...in both rats and mice. Full single-dose toxicity study reports are provided in Section 4.2.3.1 (Module 4).   #### Repeat-Dose Toxicity  In 26-week rat studies (NXV-TOX-006),...","4.2.3.2-repeat-dose-tox.pdf","1","Child Module Match"
"50","2026-05-28 12:28:21","2.4-nonclinical-overview.pdf","Section 4.2.3.2","...old over clinical AUC). Full repeat-dose toxicity study reports are provided in Section 4.2.3.2 (Module 4).   <table> <tr> <th>Species</th> <th>Duration</th> <th>NOAEL (mg/kg/...","4.2.3.2-repeat-dose-tox.pdf","1","Base Module Match"
"51","2026-05-28 12:28:23","2.4-nonclinical-overview.pdf","Section 4.2.3.3","...O cells), and in vivo mouse micronucleus test. Full genotoxicity reports are in Section 4.2.3.3 (Module 4).  As described in Section 4.2.3.3 (Module 4), the complete ICH S2(R1...","4.2.3.3-genotoxicity.pdf","1","Base Module Match"
"52","2026-05-28 12:28:24","2.4-nonclinical-overview.pdf","Section 4.2.3.4","...o 37-fold (mice) and 52-fold (rats) above clinical AUC. Reports are provided in Section 4.2.3.4 (Module 4).   ### Reproductive and Developmental Toxicity  Fertility and early...","4.2.3.2-repeat-dose-tox.pdf","1","Child Module Match"
"53","2026-05-28 12:28:25","2.4-nonclinical-overview.pdf","Section 4.2.3.5","...development = 30 mg/kg/day. Full reproductive toxicity studies are reported in Section 4.2.3.5 (Module 4).  Refer to Section 4.2.3.5 (Module 4) for full reproductive toxicity...","4.2.3.2-repeat-dose-tox.pdf","1","Child Module Match"
"54","2026-05-28 12:28:26","2.4-nonclinical-overview.pdf","Section 1.7","...ations (PEC <0.001 mg/L). The Environmental Assessment is provided in Module 1 (Section 1.7).  Refer to Section 1.7 (Module 1) for the complete Environmental Assessment, i...","1.7-env-assessment.pdf","1","Base Module Match"
"55","2026-05-28 12:28:52","2.5-clinical-overview.pdf","Section 2.5","...""Clinical Overview"" -->  PharmaCorp Inc. NDA 123456   # Nexivarin 10 mg Tablets Section 2.5  Clinical Overview   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</t...","2.5-clinical-overview.pdf","1","Base Module Match"
"56","2026-05-28 12:28:53","2.5-clinical-overview.pdf","Section 2.5.1","...elopment rationale, including disease background and unmet need, is provided in Section 2.5.1 and the Clinical Overview Appendices.  The epidemiology of hypertension and the...","2.5-clinical-overview.pdf","1","Base Module Match"
"57","2026-05-28 12:30:40","2.5-clinical-overview.pdf","Section 2.7.2","...e full clinical pharmacology summary and population PK analyses are provided in Section 2.7.2. Individual clinical pharmacology study reports are in Module 5 (Section 5.3.1)...","2.5-clinical-overview.pdf","3","2.5.3 Overview of Clinical Pharmacology"
"58","2026-05-28 12:30:41","2.5-clinical-overview.pdf","Section 4.2.3.2","...s the reference value used for nonclinical safety margin calculations (refer to Section 4.2.3.2, Module 4).   ### 2.5.4 Overview of Efficacy  Efficacy was established in two p...","4.2.3.2-repeat-dose-tox.pdf","1","Base Module Match"
"59","2026-05-28 12:34:06","2.5-clinical-overview.pdf","Section 5.3.4","...s presented in Table 2.5-3. The complete integrated safety data are provided in Section 5.3.4 (Module 5 - Integrated Summary of Safety).   <table> <tr> <th>Parameter</th> <t...","5.3.4-integrated-safety.pdf","3","Section 5.3.4 Integrated Summary of Safety"
"60","2026-05-28 12:36:04","2.5-clinical-overview.pdf","Section 1.3.1","...ted safety data (provided in Section 5.3.4, Module 5). The labeling proposed in Section 1.3.1 (Module 1) reflects this benefit/risk assessment.  <!-- PageFooter=""PharmaCorp...","1.3.1-labeling.pdf","1","Base Module Match"
"61","2026-05-28 12:36:27","3.2.P.2-pharm-dev.pdf","Section 3.2.P.2","...tical Development"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 3.2.P.2 Drug Product - Pharmaceutical Development   <table> <tr> <td>Submission Type</t...","3.2.P.2-pharm-dev.pdf","1","Base Module Match"
"62","2026-05-28 12:36:45","3.2.P.3-manufacture.pdf","Section 3.2.P.3","....P.3 Manufacture"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   ## Section 3.2.P.3 Drug Product - Manufacture   <table> <tr> <td>Submission Type</td> <td>NDA-505(...","3.2.P.3-manufacture.pdf","1","Base Module Match"
"63","2026-05-28 12:37:02","3.2.P.8-stability.pdf","Section 3.2.P.8","...er=""3.2.P.8 Stability"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 3.2.P.8 Drug Product - Stability   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)...","3.2.P.8-stability.pdf","1","Base Module Match"
"64","2026-05-28 12:37:20","3.2.S.1-general-info.pdf","Section 3.2.S.1","...neral Information"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 3.2.S.1 Drug Substance - General Information   <table> <tr> <td>Submission Type</td> <t...","3.2.S.1-general-info.pdf","1","Base Module Match"
"65","2026-05-28 12:37:38","3.2.S.2-manufacture.pdf","Section 3.2.S.2","....S.2 Manufacture"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   ## Section 3.2.S.2 Drug Substance - Manufacture   <table> <tr> <td>Submission Type</td> <td>NDA-50...","3.2.S.2-manufacture.pdf","1","Base Module Match"
"66","2026-05-28 12:37:52","3.2.S.4-control.pdf","Section 3.2.S.4","...f Drug Substance"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   ## Section 3.2.S.4 Drug Substance - Control   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)...","3.2.S.4-control.pdf","1","Base Module Match"
"67","2026-05-28 12:38:08","3.2.S.7-stability.pdf","Section 3.2.S.7","...er=""3.2.S.7 Stability"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 3.2.S.7 Drug Substance - Stability   <table> <tr> <td>Submission Type</td> <td>NDA-505(...","3.2.S.7-stability.pdf","1","Base Module Match"
"68","2026-05-28 12:38:25","4.2.1.1-primary-pd.pdf","Section 4.2.1.1","...Pharmacodynamics"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 4.2.1.1 Primary Pharmacodynamics   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)...","4.2.1.1-primary-pd.pdf","1","Base Module Match"
"69","2026-05-28 12:38:41","4.2.1.3-safety-pharm.pdf","Section 4.2.1.3","...- eCTD Submission"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 4.2.1.3 Safety Pharmacology   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</...","4.2.1.3-safety-pharm.pdf","1","Base Module Match"
"70","2026-05-28 12:39:03","4.2.3.2-repeat-dose-tox.pdf","Section 4.2.3.2","...- eCTD Submission"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 4.2.3.2 Repeat-Dose Toxicity   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)<...","4.2.3.2-repeat-dose-tox.pdf","1","Base Module Match"
"71","2026-05-28 12:39:23","4.2.3.3-genotoxicity.pdf","Section 4.2.3.3","....3.3 Genotoxicity"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 4.2.3.3 Genotoxicity   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</td> </t...","4.2.3.3-genotoxicity.pdf","1","Base Module Match"
"72","2026-05-28 12:39:40","4.2.1.1-primary-pd.pdf","Section 4.2.1.1","...Pharmacodynamics"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 4.2.1.1 Primary Pharmacodynamics   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)...","4.2.1.1-primary-pd.pdf","1","Base Module Match"
"73","2026-05-28 12:39:53","4.2.1.3-safety-pharm.pdf","Section 4.2.1.3","...- eCTD Submission"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 4.2.1.3 Safety Pharmacology   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</...","4.2.1.3-safety-pharm.pdf","1","Base Module Match"
"74","2026-05-28 12:40:07","4.2.3.2-repeat-dose-tox.pdf","Section 4.2.3.2","...- eCTD Submission"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 4.2.3.2 Repeat-Dose Toxicity   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)<...","4.2.3.2-repeat-dose-tox.pdf","1","Base Module Match"
"75","2026-05-28 12:40:19","4.2.3.3-genotoxicity.pdf","Section 4.2.3.3","....3.3 Genotoxicity"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets   # Section 4.2.3.3 Genotoxicity   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)</td> </t...","4.2.3.3-genotoxicity.pdf","1","Base Module Match"
"1","2026-05-28 15:42:20","2.4-nonclinical-overview.pdf","Section 2.4","...""Nonclinical Overview"" -->  PharmaCorp Inc. NDA 123456  Nexivarin 10 mg Tablets Section 2.4  Nonclinical Overview   <table> <tr> <td>Submission Type</td> <td>NDA-505(b)(1)...","2.4-nonclinical-overview.pdf","1","Base Module Match"
"2","2026-05-28 15:42:31","2.4-nonclinical-overview.pdf","Sections 4.2.1",".... All GLP-compliant studies referenced herein are reported in full in Module 4 (Sections 4.2.1 through 4.2.3). The nonclinical written and tabulated summaries are provided in...","2.4-nonclinical-overview.pdf","3","2.4.1 Overview of the Nonclinical Testing Strategy"
"3","2026-05-28 15:43:53","2.4-nonclinical-overview.pdf","Section 4.2.1.1","...heral selectivity. The complete in vitro patch-clamp study data are reported in Section 4.2.1.1 (Study NXV-PD-001). Antihypertensive activity was confirmed in the SHR model wi...","4.2.1.1-primary-pd.pdf","3","4.2.1.1 Primary Pharmacodynamics - Nexivarin Hydrochloride"
"4","2026-05-28 15:44:00","2.4-nonclinical-overview.pdf","Section 4.2.1.2","...a clean selectivity profile. The full receptor selectivity data are provided in Section 4.2.1.2 (Module 4).  Refer to Table 1 of Section 4.2.1.2 (Module 4) for the complete re...","2.4-nonclinical-overview.pdf","3","Secondary Pharmacodynamics"
"5","2026-05-28 15:44:01","2.4-nonclinical-overview.pdf","Section 2.4.2","...t considered clinically relevant at therapeutic concentrations, as discussed in Section 2.4.2.   ### Safety Pharmacology  Cardiovascular safety pharmacology studies (ICH S7B...","2.4-nonclinical-overview.pdf","1","Base Module Match"
"6","2026-05-28 15:44:33","2.4-nonclinical-overview.pdf","Sections 4.2.2.1","...ey are summarized in Table 2.4-2 below. Full ADME study reports are provided in Sections 4.2.2.1 through 4.2.2.5 (Module 4).   <table> <tr> <th>PK Parameter</th> <th>Rat</th> <...","2.4-nonclinical-overview.pdf","4","2.4.3 Pharmacokinetics"
"7","2026-05-28 15:47:14","2.4-nonclinical-overview.pdf","Section 4.2.2.5","...studies, Section 4.2.2.3 for distribution, Section 4.2.2.4 for metabolism, and Section 4.2.2.5 for excretion). Metabolite profiling data are provided in Section 4.2.2.4; the...","2.4-nonclinical-overview.pdf","4","2.4.3 Pharmacokinetics"
"8","2026-05-28 15:47:46","2.4-nonclinical-overview.pdf","Section 4.2.3.2","...old over clinical AUC). Full repeat-dose toxicity study reports are provided in Section 4.2.3.2 (Module 4).   <table> <tr> <th>Species</th> <th>Duration</th> <th>NOAEL (mg/kg/...","2.4-nonclinical-overview.pdf","4","Repeat-Dose Toxicity"
"9","2026-05-28 15:47:54","2.4-nonclinical-overview.pdf","Section 4.2.3.3","...O cells), and in vivo mouse micronucleus test. Full genotoxicity reports are in Section 4.2.3.3 (Module 4).  As described in Section 4.2.3.3 (Module 4), the complete ICH S2(R1...","2.4-nonclinical-overview.pdf","4","Genotoxicity"
"10","2026-05-28 15:48:17","2.4-nonclinical-overview.pdf","Section 4.2.3.5","...development = 30 mg/kg/day. Full reproductive toxicity studies are reported in Section 4.2.3.5 (Module 4).  Refer to Section 4.2.3.5 (Module 4) for full reproductive toxicity...","2.4-nonclinical-overview.pdf","5","Reproductive and Developmental Toxicity"
"11","2026-05-28 15:48:24","2.4-nonclinical-overview.pdf","Section 1.7","...ations (PEC <0.001 mg/L). The Environmental Assessment is provided in Module 1 (Section 1.7).  Refer to Section 1.7 (Module 1) for the complete Environmental Assessment, i...","1.7-env-assessment.pdf","3","Section 1.7 Environmental Assessment / Exclusion Claim"
"TOC-12","2026-05-28 15:48:34","2.4-nonclinical-overview.pdf","2.4.3","Table of Contents entry","2.4-nonclinical-overview.pdf","4","TOC Internal Link"
"TOC-13","2026-05-28 15:48:34","2.4-nonclinical-overview.pdf","2.4.4","Table of Contents entry","2.4-nonclinical-overview.pdf","4","TOC Internal Link"
"TOC-14","2026-05-28 15:48:35","2.4-nonclinical-overview.pdf","2.4.5","Table of Contents entry","2.4-nonclinical-overview.pdf","5","TOC Internal Link"
"TOC-15","2026-05-28 15:48:35","2.4-nonclinical-overview.pdf","2.4.1","Table of Contents entry","2.4-nonclinical-overview.pdf","3","TOC Internal Link"
"TOC-16","2026-05-28 15:48:35","2.4-nonclinical-overview.pdf","2.4.2","Table of Contents entry","2.4-nonclinical-overview.pdf","3","TOC Internal Link"
"TOC-17","2026-05-28 15:48:35","2.4-nonclinical-overview.pdf","2.4","Table of Contents entry","2.4-nonclinical-overview.pdf","3","TOC Internal Link"
